City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Jambi,ID,-1.6,103.6167,74.64,95,70,2.19,broken clouds
138,Chaozhou,CN,23.6651,116.6379,66.06,81,100,5.03,overcast clouds
139,Dingle,PH,10.9995,122.6711,74.61,95,100,5.86,moderate rain
140,Chum Phae,TH,16.5443,102.0992,69.24,87,82,2.75,broken clouds
141,Vostochnyy,RU,55.8167,37.8667,44.53,76,22,9.69,few clouds
142,Lagoa,PT,39.05,-27.9833,66.97,73,6,14.58,clear sky
143,Chuy,UY,-33.6971,-53.4616,62.8,68,100,1.83,light rain
144,Jiaxing,CN,30.7522,120.75,68.02,65,100,5.5,light rain
145,Houma,US,29.5958,-90.7195,84.0,74,40,10.36,scattered clouds
146,Ulvik,NO,60.5672,6.9187,32.81,90,98,4.45,overcast clouds
147,Lashio,MM,22.9333,97.75,63.64,99,40,0.6,scattered clouds
148,Biak,ID,-0.9131,122.8766,76.21,78,97,3.69,overcast clouds
149,Hithadhoo,MV,-0.6,73.0833,82.35,74,100,11.23,overcast clouds
150,Maumere,ID,-8.6199,122.2111,79.23,81,100,2.66,overcast clouds
151,Krasnyy Chikoy,RU,50.3643,108.7512,30.6,66,9,2.53,clear sky
152,Komsomolskiy,UZ,40.4272,71.7189,45.82,60,1,6.91,clear sky
153,Stromness,GB,58.965,-3.296,53.85,89,100,17.0,light rain
154,Marsa Matruh,EG,31.3525,27.2453,70.48,66,0,7.92,clear sky
155,Makakilo City,US,21.3469,-158.0858,75.61,72,1,5.75,clear sky
156,Halden,NO,59.1226,11.3871,50.34,73,80,5.48,broken clouds
157,Nizwa,OM,22.9333,57.5333,82.9,33,7,2.89,clear sky
158,Sorland,NO,67.667,12.6934,42.04,60,79,12.8,broken clouds
159,Boyolangu,ID,-8.1181,111.8935,76.69,88,100,3.47,overcast clouds
160,Khani,GE,41.9563,42.9566,40.57,79,0,3.67,clear sky
161,Senneterre,CA,48.3835,-77.2328,39.42,58,57,7.02,broken clouds
162,Paamiut,GL,61.994,-49.6678,32.16,48,15,21.52,few clouds
163,Zenzeli,RU,45.9241,47.0474,56.77,82,0,8.95,clear sky
164,General Roca,AR,-39.0333,-67.5833,72.63,15,2,19.53,clear sky
165,Ghanzi,BW,-21.5667,21.7833,85.1,11,0,6.49,clear sky
166,Puerto Leguizamo,CO,-0.1934,-74.7819,91.62,49,78,2.06,broken clouds
167,Talnakh,RU,69.4865,88.3972,22.26,96,100,7.09,light snow
168,Geraldton,AU,-28.7667,114.6,57.61,88,0,5.75,clear sky
169,Constitucion,CL,-35.3333,-72.4167,59.38,53,5,16.98,clear sky
170,Alugan,PH,12.2188,125.4808,79.92,83,99,5.28,overcast clouds
171,Yulara,AU,-25.2406,130.9889,69.64,32,0,10.36,clear sky
172,Morros,BR,-9.4467,-46.3003,85.48,52,88,4.79,overcast clouds
173,Tucuman,AR,-26.8241,-65.2226,80.6,36,40,21.85,dust
174,Usinsk,RU,65.9939,57.5281,23.9,93,64,14.47,broken clouds
175,Buloh Kasap,MY,2.5536,102.764,78.71,93,19,1.66,moderate rain
176,Port-Gentil,GA,-0.7193,8.7815,78.19,79,100,9.4,overcast clouds
177,Aromashevo,RU,56.8602,68.6375,46.76,75,24,19.06,few clouds
178,Plettenberg Bay,ZA,-34.0527,23.3716,57.49,79,44,13.67,light rain
179,Srednekolymsk,RU,67.45,153.6833,-13.92,99,62,3.8,broken clouds
180,Manbij,SY,36.5281,37.9549,57.97,24,0,9.93,clear sky
181,Havre-Saint-Pierre,CA,50.2334,-63.5986,46.67,81,100,7.65,overcast clouds
182,Namibe,AO,-15.1961,12.1522,69.04,64,45,15.37,scattered clouds
183,Genc,TR,38.7507,40.5603,55.98,23,0,3.06,clear sky
184,Taoudenni,ML,22.6783,-3.9836,92.68,15,0,3.87,clear sky
185,Thinadhoo,MV,0.5333,72.9333,83.79,68,59,13.73,broken clouds
186,Hobyo,SO,5.3505,48.5268,80.28,77,11,10.89,few clouds
187,Solnechnyy,RU,50.7214,136.6319,32.99,85,1,4.07,clear sky
188,Port Alfred,ZA,-33.5906,26.891,62.01,66,32,31.85,scattered clouds
189,Nuuk,GL,64.1835,-51.7216,29.01,46,40,9.22,scattered clouds
190,Kudahuvadhoo,MV,2.6708,72.8944,82.98,73,13,14.05,few clouds
191,Havoysund,NO,70.9963,24.6622,34.68,59,100,17.9,light rain
192,Bagdarin,RU,54.4333,113.6,30.6,65,76,1.99,broken clouds
193,Sokoni,TZ,-6.4333,39.55,78.64,75,35,15.43,scattered clouds
194,Ekhabi,RU,53.5102,142.9671,32.94,94,43,8.5,scattered clouds
195,South Venice,US,27.0531,-82.4243,86.05,70,100,5.75,overcast clouds
196,Saint George,US,37.1041,-113.5841,72.07,28,1,3.44,clear sky
197,Cidreira,BR,-30.1811,-50.2056,71.37,75,75,11.16,light rain
198,Richmond,US,37.5538,-77.4603,70.39,58,75,5.99,broken clouds
199,Andenes,NO,69.3143,16.1194,31.98,100,75,13.8,snow
200,Barra Patuca,HN,15.8,-84.2833,83.84,74,79,4.25,broken clouds
201,Aksha,RU,50.2814,113.2867,34.3,62,7,2.8,clear sky
202,Grindavik,IS,63.8424,-22.4338,46.87,100,75,13.8,broken clouds
203,Mayumba,GA,-3.432,10.6554,77.94,82,71,5.21,broken clouds
204,Iroquois Falls,CA,48.7669,-80.6831,39.34,86,100,8.9,overcast clouds
205,Faya,SA,18.3851,42.4509,66.31,38,7,5.99,clear sky
206,Antalaha,MG,-14.9003,50.2788,75.43,92,11,2.28,few clouds
207,Adrar,MR,20.5022,-10.0711,89.91,13,26,1.25,scattered clouds
208,Dwarka,IN,22.2394,68.9678,81.73,63,99,15.97,overcast clouds
209,Urucara,BR,-2.5364,-57.76,94.12,43,56,3.4,broken clouds
